manudir,manudir-href,City,Hours
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Minsk, Belarus","99"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Paris, France","118"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Oslo, Norway","51"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Lisbon, Portugal","151"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Moscow, Russia","1721"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Ljubljana, Slovenia","260"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Milan, Italy","186"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Nizhny & Novgorod, Russia","31"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Marseille, France","293"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Madrid, Spain","124"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Manchester, United Kingdom","60"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Lille, France","206"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Lyon, France","101"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Minsk, Belarus","46"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Lille, France","152"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Manchester, United Kingdom","99"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Madrid, Spain","198"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Pristina, Kosovo","184"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Ljubljana, Slovenia","1712"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Luxembourg, Luxembourg","56"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Nizhny & Novgorod, Russia","268"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Oslo, Norway","86"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Lisbon, Portugal","208"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Ljubljana, Slovenia","221"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Prague, Czech Republic","1668"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Milan, Italy","1914"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Podgorica, Montenegro","194"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Luxembourg, Luxembourg","81"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Monaco, Monaco","217"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","London, United Kingdom","148"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Oslo, Norway","40"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Odessa, Ukraine","2183"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Paris, France","68"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Milan, Italy","66"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Nice, France","187"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Pristina, Kosovo","299"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Moscow, Russia","32"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Madrid, Spain","157"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Marseille, France","327"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Podgorica, Montenegro","250"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","London, United Kingdom","45"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Moscow, Russia","19"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Ljubljana, Slovenia","47"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Naples, Italy","126"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Prague, Czech Republic","125"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Odessa, Ukraine","125"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Lisbon, Portugal","302"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Minsk, Belarus","176"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Nice, France","149"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Moscow, Russia","235"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Lisbon, Portugal","144"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Naples, Italy","189"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Naples, Italy","313"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Prague, Czech Republic","50"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Prague, Czech Republic","47"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Paris, France","129"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Nizhny & Novgorod, Russia","141"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Odessa, Ukraine","77"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","London, United Kingdom","65"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Lille, France","194"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","London, United Kingdom","105"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","London, United Kingdom","134"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Munich, Germany","69"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Minsk, Belarus","258"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Nizhny & Novgorod, Russia","29"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Oslo, Norway","250"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Prague, Czech Republic","161"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Lyon, France","283"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Ljubljana, Slovenia","37"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Monaco, Monaco","348"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Luxembourg, Luxembourg","208"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Milan, Italy","177"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Oslo, Norway","246"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Ljubljana, Slovenia","164"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Podgorica, Montenegro","203"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Lisbon, Portugal","261"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Naples, Italy","158"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Marseille, France","333"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Nizhny & Novgorod, Russia","39"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Odessa, Ukraine","57"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Nizhny & Novgorod, Russia","168"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Nizhny & Novgorod, Russia","220"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Minsk, Belarus","70"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Moscow, Russia","272"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Lille, France","66"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Odessa, Ukraine","186"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Manchester, United Kingdom","53"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","London, United Kingdom","177"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Oslo, Norway","126"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Madrid, Spain","335"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Monaco, Monaco","158"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Lyon, France","76"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Monaco, Monaco","139"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Paris, France","51"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Podgorica, Montenegro","250"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Odessa, Ukraine","291"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Paris, France","1662"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Munich, Germany","199"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Lille, France","121"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Lille, France","61"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Munich, Germany","173"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Luxembourg, Luxembourg","159"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Minsk, Belarus","36"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Nice, France","224"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Pristina, Kosovo","246"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Marseille, France","239"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Madrid, Spain","231"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Monaco, Monaco","306"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Paris, France","62"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Odessa, Ukraine","240"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Nice, France","2724"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Lyon, France","195"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Nice, France","217"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Nice, France","316"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Podgorica, Montenegro","125"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Nizhny & Novgorod, Russia","268"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Pristina, Kosovo","174"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Marseille, France","2858"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Marseille, France","369"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Luxembourg, Luxembourg","44"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Podgorica, Montenegro","2480"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","London, United Kingdom","102"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Ljubljana, Slovenia","230"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","London, United Kingdom","186"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Munich, Germany","49"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Lille, France","114"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Odessa, Ukraine","169"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Minsk, Belarus","1758"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Milan, Italy","243"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Lisbon, Portugal","157"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Naples, Italy","234"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Nizhny & Novgorod, Russia","1712"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Odessa, Ukraine","77"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Oslo, Norway","144"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Podgorica, Montenegro","129"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Manchester, United Kingdom","166"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","London, United Kingdom","46"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Naples, Italy","279"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Milan, Italy","251"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Lille, France","211"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Paris, France","194"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Nizhny & Novgorod, Russia","75"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Nice, France","348"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Prague, Czech Republic","218"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Munich, Germany","237"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Odessa, Ukraine","314"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Lyon, France","170"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","London, United Kingdom","1410"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Monaco, Monaco","316"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Nizhny & Novgorod, Russia","84"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Nizhny & Novgorod, Russia","125"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Milan, Italy","152"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Pristina, Kosovo","290"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Marseille, France","259"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Lyon, France","254"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Ljubljana, Slovenia","85"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Marseille, France","152"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Lisbon, Portugal","291"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Lyon, France","253"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Naples, Italy","295"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Ljubljana, Slovenia","210"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Lisbon, Portugal","343"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Madrid, Spain","157"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Lyon, France","191"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Milan, Italy","95"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Madrid, Spain","261"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","London, United Kingdom","60"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Manchester, United Kingdom","1416"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Moscow, Russia","128"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Podgorica, Montenegro","121"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Nice, France","139"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Lisbon, Portugal","213"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Monaco, Monaco","267"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Naples, Italy","245"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Manchester, United Kingdom","147"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Marseille, France","135"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Naples, Italy","105"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Paris, France","166"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Ljubljana, Slovenia","162"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Podgorica, Montenegro","107"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Madrid, Spain","359"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Oslo, Norway","216"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Manchester, United Kingdom","74"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Podgorica, Montenegro","314"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Manchester, United Kingdom","131"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Munich, Germany","61"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Podgorica, Montenegro","170"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Nice, France","158"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Minsk, Belarus","253"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Lyon, France","221"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Lille, France","1617"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Lille, France","200"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Paris, France","212"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Marseille, France","174"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Moscow, Russia","144"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Minsk, Belarus","27"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Ljubljana, Slovenia","56"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Monaco, Monaco","149"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Odessa, Ukraine","265"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Monaco, Monaco","2724"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Paris, France","168"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Milan, Italy","211"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Oslo, Norway","178"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","London, United Kingdom","171"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Manchester, United Kingdom","99"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Manchester, United Kingdom","47"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Naples, Italy","2371"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Manchester, United Kingdom","188"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Moscow, Russia","276"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Luxembourg, Luxembourg","109"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Pristina, Kosovo","71"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Milan, Italy","59"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Milan, Italy","59"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","London, United Kingdom","171"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Moscow, Russia","77"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Prague, Czech Republic","54"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Moscow, Russia","71"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Madrid, Spain","148"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Monaco, Monaco","171"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Oslo, Norway","1668"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Marseille, France","187"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Lisbon, Portugal","142"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Podgorica, Montenegro","279"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Moscow, Russia","265"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Minsk, Belarus","262"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Marseille, France","244"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Nice, France","242"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Lisbon, Portugal","2799"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Paris, France","202"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Madrid, Spain","2769"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Naples, Italy","123"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Munich, Germany","213"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Lyon, France","54"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Madrid, Spain","272"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Munich, Germany","157"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Luxembourg, Luxembourg","1630"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Pristina, Kosovo","226"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Lille, France","50"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Oslo, Norway","220"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Munich, Germany","84"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Manchester, United Kingdom","180"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Munich, Germany","209"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Milan, Italy","285"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Podgorica, Montenegro","340"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Oslo, Norway","35"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Prague, Czech Republic","72"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Paris, France","212"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Nice, France","306"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Ljubljana, Slovenia","116"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Prague, Czech Republic","226"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Monaco, Monaco","187"
