manudir,manudir-href,Days,City,Milli­metres
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","12","Munich, Germany","132"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","8","Ljubljana, Slovenia","71"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","10","Lille, France","51"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Podgorica, Montenegro","217"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","11","Lille, France","66"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","11","Leeds, United Kingdom","77"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","5","Monaco, Monaco","73"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","6","Odessa, Ukraine","34"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","9","Luxembourg, Luxembourg","68"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","8","Lyon, France","50"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","London, United Kingdom","40"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","9","Naples, Italy","78"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","94","Prague, Czech Republic","526"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","8","Lyon, France","76"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","7","Nizhny & Novgorod, Russia","23"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","5","Milan, Italy","49"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","2","Nice, France","18"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","9","Nizhny & Novgorod, Russia","29"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","12","Luxembourg, Luxembourg","71"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","112","Nizhny & Novgorod, Russia","558"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","152","Leeds, United Kingdom","1024"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Monaco, Monaco","69"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","101","Podgorica, Montenegro","1661"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","9","Naples, Italy","136"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","6","Madrid, Spain","37"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","6","Prague, Czech Republic","31"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","2","Madrid, Spain","10"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Lille, France","68"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","8","Nizhny & Novgorod, Russia","34"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","5","Odessa, Ukraine","49"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","9","Minsk, Belarus","72"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","11","Munich, Germany","71"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","8","Ljubljana, Slovenia","147"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","127","Lille, France","743"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","8","Luxembourg, Luxembourg","72"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","11","Nizhny & Novgorod, Russia","50"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","12","Luxembourg, Luxembourg","80"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","9","Prague, Czech Republic","66"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","London, United Kingdom","36"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","5","Nice, France","39"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","10","Paris, France","51"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Luxembourg, Luxembourg","61"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","10","Naples, Italy","152"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","15","Leeds, United Kingdom","114"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","11","Ljubljana, Slovenia","103"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","11","Minsk, Belarus","52"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","9","Munich, Germany","65"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","11","Manchester, United Kingdom","54"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","10","Prague, Czech Republic","73"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","6","Odessa, Ukraine","39"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","6","Naples, Italy","89"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","10","Munich, Germany","86"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","11","Moscow, Russia","42"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","11","Manchester, United Kingdom","64"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Lisbon, Portugal","122"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","4","Odessa, Ukraine","36"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","63","Madrid, Spain","436"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","10","Minsk, Belarus","42"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","12","Pristina, Kosovo","36"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Naples, Italy","95"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","10","Lille, France","69"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","1","Lisbon, Portugal","6"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","7","Nice, France","104"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","7","Prague, Czech Republic","24"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","9","Milan, Italy","96"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","7","Milan, Italy","59"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","12","Leeds, United Kingdom","81"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","53","Marseille, France","515"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Oslo, Norway","41"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","4","Podgorica, Montenegro","38"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","12","Ljubljana, Slovenia","113"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","8","Pristina, Kosovo","42"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","9","Minsk, Belarus","60"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","61","Monaco, Monaco","733"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","5","Podgorica, Montenegro","121"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","113","Oslo, Norway","763"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","9","London, United Kingdom","51"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","8","Nizhny & Novgorod, Russia","38"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","9","Naples, Italy","92"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","6","Odessa, Ukraine","31"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","10","Paris, France","62"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","8","Pristina, Kosovo","44"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","14","Leeds, United Kingdom","100"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","121","Moscow, Russia","689"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","4","Odessa, Ukraine","34"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","9","Lyon, France","82"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","12","Podgorica, Montenegro","239"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","119","Minsk, Belarus","677"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","111","Paris, France","637"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","10","London, United Kingdom","48"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","7","Lyon, France","62"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","8","Odessa, Ukraine","42"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","15","Pristina, Kosovo","56"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Minsk, Belarus","40"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","10","Nizhny & Novgorod, Russia","72"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","8","Oslo, Norway","47"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","6","Podgorica, Montenegro","63"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","12","Pristina, Kosovo","68"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","9","Pristina, Kosovo","45"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","6","Marseille, France","54"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","7","Prague, Czech Republic","25"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","5","Monaco, Monaco","45"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","7","Lisbon, Portugal","51"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","8","Lyon, France","88"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","9","London, United Kingdom","45"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","10","Manchester, United Kingdom","57"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","11","Luxembourg, Luxembourg","70"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","10","Prague, Czech Republic","77"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","5","Marseille, France","77"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","3","Naples, Italy","33"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","6","Marseille, France","46"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","11","Luxembourg, Luxembourg","83"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","10","Oslo, Norway","65"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","11","Lille, France","64"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","9","Minsk, Belarus","62"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","8","Moscow, Russia","34"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","9","Minsk, Belarus","49"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","115","Ljubljana, Slovenia","1368"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","1","Lisbon, Portugal","7"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","12","Moscow, Russia","56"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","6","Monaco, Monaco","69"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Naples, Italy","99"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","2","Monaco, Monaco","18"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","12","Minsk, Belarus","53"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","4","Madrid, Spain","25"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","10","Moscow, Russia","77"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","10","Oslo, Norway","73"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","11","Pristina, Kosovo","39"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","15","Leeds, United Kingdom","110"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","10","Podgorica, Montenegro","159"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","11","Minsk, Belarus","88"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","8","Milan, Italy","122"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Lisbon, Portugal","97"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","120","Pristina, Kosovo","598"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","5","Monaco, Monaco","39"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","10","Ljubljana, Slovenia","117"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","7","Odessa, Ukraine","48"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","122","Luxembourg, Luxembourg","876"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","6","Milan, Italy","77"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","11","Nizhny & Novgorod, Russia","61"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","5","Nice, France","73"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","104","Lyon, France","832"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Munich, Germany","45"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","83","Milan, Italy","920"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","9","Ljubljana, Slovenia","103"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","12","Moscow, Russia","94"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","6","Prague, Czech Republic","23"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","11","Nizhny & Novgorod, Russia","52"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","9","Nizhny & Novgorod, Russia","30"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","8","Moscow, Russia","36"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","13","Leeds, United Kingdom","82"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","6","Odessa, Ukraine","42"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","12","Moscow, Russia","58"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","11","Moscow, Russia","75"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","11","Oslo, Norway","84"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","10","Podgorica, Montenegro","167"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","10","Leeds, United Kingdom","63"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","9","Ljubljana, Slovenia","137"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Nizhny & Novgorod, Russia","37"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","8","Madrid, Spain","52"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","8","Ljubljana, Slovenia","131"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","6","Marseille, France","67"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","14","Pristina, Kosovo","39"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","10","Ljubljana, Slovenia","134"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","4","Monaco, Monaco","34"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","6","London, United Kingdom","35"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","109","London, United Kingdom","557"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","10","Lisbon, Portugal","90"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","6","Madrid, Spain","35"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","77","Lisbon, Portugal","726"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","9","Ljubljana, Slovenia","71"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","11","London, United Kingdom","42"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","8","Lyon, France","44"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Moscow, Russia","44"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","9","Luxembourg, Luxembourg","70"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","10","Lille, France","47"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","11","Lyon, France","91"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","11","Leeds, United Kingdom","65"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","4","Nice, France","34"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Munich, Germany","61"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","7","Madrid, Spain","56"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Luxembourg, Luxembourg","62"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","10","Lyon, France","99"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","12","Pristina, Kosovo","49"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","5","Nice, France","45"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","6","Madrid, Spain","56"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","14","Manchester, United Kingdom","81"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","8","Pristina, Kosovo","52"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","3","Madrid, Spain","28"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Paris, France","51"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","10","Lille, France","65"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","11","London, United Kingdom","61"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","6","Nice, France","93"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","11","Luxembourg, Luxembourg","82"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","8","London, United Kingdom","54"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","3","Lisbon, Portugal","17"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","5","Podgorica, Montenegro","66"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","7","Milan, Italy","65"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","10","Manchester, United Kingdom","51"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","11","Minsk, Belarus","83"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","9","Lisbon, Portugal","107"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","5","Marseille, France","48"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","14","Manchester, United Kingdom","93"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","7","Prague, Czech Republic","32"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","11","Munich, Germany","70"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","11","Podgorica, Montenegro","144"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","4","Marseille, France","30"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","7","Monaco, Monaco","133"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Lyon, France","75"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","8","Prague, Czech Republic","38"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","9","Prague, Czech Republic","70"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","6","Milan, Italy","93"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Paris, France","52"
