manudir,manudir-href,Days,City,Milli­metres
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Rome, Italy","76"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","120","Riga, Latvia","636"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","11","Zurich, Switzerland","74"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","4","Rome, Italy","41"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","12","Rotterdam, Netherlands","65"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","7","San Marino, San Marino","47"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","9","Rostov-on-Don, Russia","56"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","11","Tallinn, Estonia","83"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","13","Vaduz, Liechtenstein","138"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","10","Zurich, Switzerland","76"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","8","Zagreb, Croatia","92"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","1","Valletta, Malta","3"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","10","Stockholm, Sweden","66"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","7","Samara, Russia","35"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Sarajevo, Bosnia & Herzegovina","67"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","12","Zurich, Switzerland","110"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","10","Vilnius, Lithuania","77"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","81","Turin, Italy","981"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","12","Vaduz, Liechtenstein","86"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","6","Sofia, Bulgaria","44"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","95","Samara, Russia","561"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","7","Stockholm, Sweden","45"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Ufa, Russia","46"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","7","Warsaw, Poland","37"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","5","Rostov-on-Don, Russia","38"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","6","Warsaw, Poland","22"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","10","Sarajevo, Bosnia & Herzegovina","70"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","12","Riga, Latvia","49"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","12","Reykjavík, Iceland","62"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","9","Rome, Italy","110"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","78","Rome, Italy","799"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","10","Vilnius, Lithuania","72"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","11","Stockholm, Sweden","53"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","7","Rostov-on-Don, Russia","38"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","8","Sarajevo, Bosnia & Herzegovina","70"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","8","Turin, Italy","76"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","4","Skopje, Macedonia","38"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","8","Riga, Latvia","31"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","13","Rotterdam, Netherlands","87"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","9","Warsaw, Poland","58"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","12","Rotterdam, Netherlands","87"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","7","Vienna, Austria","61"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","6","Rome, Italy","49"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","11","Sarajevo, Bosnia & Herzegovina","74"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","5","Volgograd, Russia","25"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","9","Warsaw, Poland","69"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","9","Warsaw, Poland","71"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","9","Zagreb, Croatia","73"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","4","Valletta, Malta","40"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","10","Samara, Russia","51"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","6","Vienna, Austria","38"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","11","Vilnius, Lithuania","65"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","8","Riga, Latvia","43"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","9","Stockholm, Sweden","50"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","5","Volgograd, Russia","24"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","11","Riga, Latvia","79"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","7","Stockholm, Sweden","30"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","8","Volgograd, Russia","37"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","11","Sarajevo, Bosnia & Herzegovina","82"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","13","Rotterdam, Netherlands","78"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","9","Vienna, Austria","70"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","9","Tallinn, Estonia","61"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","122","Vilnius, Lithuania","683"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","8","Ufa, Russia","32"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","5","Sofia, Bulgaria","38"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Turin, Italy","113"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","8","Rome, Italy","107"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","6","Volgograd, Russia","26"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Zurich, Switzerland","65"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Rostov-on-Don, Russia","77"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","9","Vaduz, Liechtenstein","59"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","8","Warsaw, Poland","43"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","9","Ufa, Russia","53"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","8","Vaduz, Liechtenstein","52"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","9","Valletta, Malta","41"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","10","Stockholm, Sweden","46"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Zurich, Switzerland","81"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Rotterdam, Netherlands","43"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","81","Sofia, Bulgaria","579"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","9","Vilnius, Lithuania","62"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Saint Petersburg, Russia","30"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","10","Zagreb, Croatia","95"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Rostov-on-Don, Russia","47"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","10","Rotterdam, Netherlands","74"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","127","Tallinn, Estonia","693"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","8","Rome, Italy","70"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Zagreb, Croatia","59"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","12","Saint Petersburg, Russia","56"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","10","Saint Petersburg, Russia","78"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","7","Rostov-on-Don, Russia","44"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","6","Turin, Italy","84"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","11","Sarajevo, Bosnia & Herzegovina","91"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","5","Rostov-on-Don, Russia","38"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","13","Reykjavík, Iceland","73"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","10","Zurich, Switzerland","90"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","6","Sofia, Bulgaria","53"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","10","Stockholm, Sweden","72"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","10","Vilnius, Lithuania","46"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","109","Ufa, Russia","569"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","93","Warsaw, Poland","515"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","10","Rotterdam, Netherlands","81"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","8","Samara, Russia","64"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","13","Reykjavík, Iceland","72"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Samara, Russia","39"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","8","Samara, Russia","58"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","8","Zagreb, Croatia","53"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","8","Rome, Italy","59"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","7","Samara, Russia","52"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","5","Skopje, Macedonia","29"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","10","Samara, Russia","54"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","10","Volgograd, Russia","46"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","12","Tallinn, Estonia","76"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","9","Turin, Italy","104"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","9","Warsaw, Poland","41"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","8","San Marino, San Marino","75"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","9","Ufa, Russia","58"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","0","Valletta, Malta","0"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","7","Vaduz, Liechtenstein","41"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","8","Warsaw, Poland","32"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","8","Vienna, Austria","48"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","9","Sofia, Bulgaria","49"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","7","Rome, Italy","76"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","6","Sofia, Bulgaria","37"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","10","Sofia, Bulgaria","78"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","14","Tallinn, Estonia","69"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","9","Rostov-on-Don, Russia","55"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","12","Reykjavík, Iceland","58"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","6","Skopje, Macedonia","47"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","9","Vienna, Austria","70"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","9","Zurich, Switzerland","60"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","5","Sofia, Bulgaria","31"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","10","Stockholm, Sweden","55"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","98","Vienna, Austria","651"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","6","Turin, Italy","71"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","95","Zagreb, Croatia","840"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","5","Skopje, Macedonia","30"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","11","Ufa, Russia","40"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","5","Sofia, Bulgaria","35"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","12","Rotterdam, Netherlands","69"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","11","Turin, Italy","145"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","11","Sarajevo, Bosnia & Herzegovina","85"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","148","Reykjavík, Iceland","798"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","6","Turin, Italy","69"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","11","Riga, Latvia","79"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","7","San Marino, San Marino","70"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","6","San Marino, San Marino","56"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","13","Saint Petersburg, Russia","51"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","12","Zurich, Switzerland","109"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","8","Volgograd, Russia","43"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","12","Saint Petersburg, Russia","70"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","11","Valletta, Malta","80"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","8","Vienna, Austria","49"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","6","Warsaw, Poland","21"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","5","Volgograd, Russia","36"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","8","Vaduz, Liechtenstein","63"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","12","Tallinn, Estonia","75"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","120","Vaduz, Liechtenstein","947"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","12","Vilnius, Lithuania","55"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","6","Rostov-on-Don, Russia","56"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","10","Sarajevo, Bosnia & Herzegovina","94"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","9","Ufa, Russia","61"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","5","Skopje, Macedonia","44"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","9","Saint Petersburg, Russia","35"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","4","Volgograd, Russia","26"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","8","Warsaw, Poland","62"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","6","Sofia, Bulgaria","49"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","14","Reykjavík, Iceland","82"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","84","Valletta, Malta","553"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","9","Rotterdam, Netherlands","58"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","8","Zagreb, Croatia","77"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Samara, Russia","46"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","6","Sofia, Bulgaria","34"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Stockholm, Sweden","30"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","8","Vienna, Austria","40"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","10","Vaduz, Liechtenstein","55"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","4","Skopje, Macedonia","32"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","7","Samara, Russia","33"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","8","Rostov-on-Don, Russia","59"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Saint Petersburg, Russia","33"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","1","Valletta, Malta","7"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","9","Vilnius, Lithuania","39"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","13","Reykjavík, Iceland","76"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","11","Ufa, Russia","60"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","11","Zurich, Switzerland","108"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","6","Zagreb, Croatia","43"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","119","Saint Petersburg, Russia","633"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","8","Zagreb, Croatia","80"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","8","Zagreb, Croatia","83"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","9","Vilnius, Lithuania","53"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","9","Sarajevo, Bosnia & Herzegovina","79"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","10","Valletta, Malta","90"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","11","Reykjavík, Iceland","50"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Ufa, Russia","37"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","105","Stockholm, Sweden","539"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","7","Tallinn, Estonia","37"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","6","Zagreb, Croatia","39"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","10","Sofia, Bulgaria","75"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","12","Vilnius, Lithuania","57"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","7","Warsaw, Poland","33"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","5","Turin, Italy","48"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","7","Riga, Latvia","25"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","11","Ufa, Russia","54"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","11","Saint Petersburg, Russia","81"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","4","San Marino, San Marino","43"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","14","Valletta, Malta","89"
"July","https://www.currentresults.com/Weather/Europe/Cities/precipitation-july.php","9","Ufa, Russia","63"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","7","Stockholm, Sweden","26"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","10","Zurich, Switzerland","87"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","113","Sarajevo, Bosnia & Herzegovina","932"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","14","Tallinn, Estonia","61"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","9","Vienna, Austria","69"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","131","Rotterdam, Netherlands","856"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","76","San Marino, San Marino","655"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","14","Reykjavík, Iceland","79"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","73","Volgograd, Russia","403"
"November","https://www.currentresults.com/Weather/Europe/Cities/precipitation-november.php","13","Riga, Latvia","61"
"Year","https://www.currentresults.com/Weather/Europe/Cities/precipitation-annual-average.php","65","Skopje, Macedonia","474"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","7","Skopje, Macedonia","40"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","3","Valletta, Malta","7"
"March","https://www.currentresults.com/Weather/Europe/Cities/precipitation-march.php","6","Turin, Italy","73"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","5","Rostov-on-Don, Russia","33"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","10","Vaduz, Liechtenstein","102"
"April","https://www.currentresults.com/Weather/Europe/Cities/precipitation-april.php","6","Skopje, Macedonia","40"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","9","Riga, Latvia","61"
"December","https://www.currentresults.com/Weather/Europe/Cities/precipitation-december.php","9","Rome, Italy","84"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","10","Stockholm, Sweden","39"
"May","https://www.currentresults.com/Weather/Europe/Cities/precipitation-may.php","7","Rostov-on-Don, Russia","55"
"January","https://www.currentresults.com/Weather/Europe/Cities/precipitation-january.php","6","San Marino, San Marino","42"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","12","Reykjavík, Iceland","67"
"September","https://www.currentresults.com/Weather/Europe/Cities/precipitation-september.php","6","Rome, Italy","72"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","12","Saint Petersburg, Russia","67"
"February","https://www.currentresults.com/Weather/Europe/Cities/precipitation-february.php","6","Volgograd, Russia","29"
"October","https://www.currentresults.com/Weather/Europe/Cities/precipitation-october.php","12","Rotterdam, Netherlands","90"
"June","https://www.currentresults.com/Weather/Europe/Cities/precipitation-june.php","6","Volgograd, Russia","37"
"August","https://www.currentresults.com/Weather/Europe/Cities/precipitation-august.php","8","Vienna, Austria","72"
