manudir,manudir-href,City,Hours
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Barcelona, Spain","310"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Amsterdam, Netherlands","63"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Amsterdam, Netherlands","109"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","İstanbul, Turkey","73"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Copenhagen, Denmark","117"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","İstanbul, Turkey","2026"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Dublin, Ireland","72"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Barcelona, Spain","180"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Chisinau, Moldova","295"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Hamburg, Germany","207"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Chisinau, Moldova","254"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Birmingham, United Kingdom","125"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Belgrade, Serbia","97"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Helsinki, Finland","74"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Belgrade, Serbia","242"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Kazan, Russia","49"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Kazan, Russia","1931"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Berlin, Germany","52"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Glasgow, United Kingdom","111"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Copenhagen, Denmark","260"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Athens, Greece","127"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Berlin, Germany","218"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Glasgow, United Kingdom","173"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Kazan, Russia","293"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Helsinki, Finland","291"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Glasgow, United Kingdom","128"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Barcelona, Spain","149"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Budapest, Hungary","1928"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Chisinau, Moldova","58"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Copenhagen, Denmark","58"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Bucharest, Romania","281"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Birmingham, United Kingdom","98"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Helsinki, Finland","275"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Chisinau, Moldova","2126"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Belgrade, Serbia","188"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Berlin, Germany","111"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Hamburg, Germany","53"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Cologne, Germany","144"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Brussels, Belgium","191"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Copenhagen, Denmark","46"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Dublin, Ireland","164"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Barcelona, Spain","220"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Andorra la Vella, Andorra","117"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Helsinki, Finland","266"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","İstanbul, Turkey","71"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Budapest, Hungary","83"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Helsinki, Finland","131"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Athens, Greece","230"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Belgrade, Serbia","261"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Barcelona, Spain","244"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Cologne, Germany","192"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Brussels, Belgium","201"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Chisinau, Moldova","226"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Andorra la Vella, Andorra","189"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Cologne, Germany","184"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Budapest, Hungary","254"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Cologne, Germany","195"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Bucharest, Romania","289"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Glasgow, United Kingdom","51"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","İstanbul, Turkey","159"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Bucharest, Romania","177"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Amsterdam, Netherlands","183"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Helsinki, Finland","196"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Brussels, Belgium","113"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Athens, Greece","277"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Dublin, Ireland","76"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Amsterdam, Netherlands","139"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Andorra la Vella, Andorra","1936"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Berlin, Germany","122"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","İstanbul, Turkey","285"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Copenhagen, Denmark","38"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","İstanbul, Turkey","99"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Helsinki, Finland","38"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Cologne, Germany","47"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Budapest, Hungary","251"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Budapest, Hungary","151"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Helsinki, Finland","37"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Hamburg, Germany","67"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Helsinki, Finland","26"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Amsterdam, Netherlands","217"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Helsinki, Finland","1780"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Kazan, Russia","84"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Athens, Greece","340"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Glasgow, United Kingdom","142"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Birmingham, United Kingdom","48"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Barcelona, Spain","138"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Andorra la Vella, Andorra","190"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Hamburg, Germany","141"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Belgrade, Serbia","274"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Belgrade, Serbia","72"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Belgrade, Serbia","65"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Cologne, Germany","1504"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Barcelona, Spain","163"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Cologne, Germany","155"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Andorra la Vella, Andorra","109"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Athens, Greece","129"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Bucharest, Romania","88"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Cologne, Germany","79"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Brussels, Belgium","1546"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Belgrade, Serbia","291"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Hamburg, Germany","35"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Glasgow, United Kingdom","1203"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Amsterdam, Netherlands","197"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Copenhagen, Denmark","247"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Glasgow, United Kingdom","33"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Birmingham, United Kingdom","164"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Brussels, Belgium","190"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Copenhagen, Denmark","65"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Dublin, Ireland","192"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Helsinki, Finland","219"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Budapest, Hungary","279"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Glasgow, United Kingdom","149"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Birmingham, United Kingdom","140"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Amsterdam, Netherlands","126"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Birmingham, United Kingdom","168"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Glasgow, United Kingdom","86"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Birmingham, United Kingdom","180"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Amsterdam, Netherlands","206"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Bucharest, Romania","63"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Kazan, Russia","254"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Kazan, Russia","41"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Berlin, Germany","210"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Chisinau, Moldova","125"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Brussels, Belgium","159"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Budapest, Hungary","180"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Hamburg, Germany","105"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Amsterdam, Netherlands","222"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Amsterdam, Netherlands","88"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Copenhagen, Denmark","103"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Brussels, Belgium","188"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Cologne, Germany","108"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Helsinki, Finland","84"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Andorra la Vella, Andorra","169"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Belgrade, Serbia","204"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Glasgow, United Kingdom","38"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Athens, Greece","336"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Brussels, Belgium","59"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Hamburg, Germany","207"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Birmingham, United Kingdom","98"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Kazan, Russia","205"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","İstanbul, Turkey","267"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Dublin, Ireland","59"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Berlin, Germany","158"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","İstanbul, Turkey","213"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Copenhagen, Denmark","262"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Hamburg, Germany","222"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Glasgow, United Kingdom","63"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Bucharest, Romania","266"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Budapest, Hungary","54"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Berlin, Germany","45"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Chisinau, Moldova","283"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Hamburg, Germany","101"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Athens, Greece","208"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Athens, Greece","2771"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Chisinau, Moldova","187"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Cologne, Germany","44"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Barcelona, Spain","219"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Kazan, Russia","150"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Amsterdam, Netherlands","62"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Athens, Greece","364"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Birmingham, United Kingdom","66"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Bucharest, Romania","85"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Hamburg, Germany","161"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Andorra la Vella, Andorra","169"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Budapest, Hungary","133"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Brussels, Belgium","66"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Kazan, Russia","33"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Chisinau, Moldova","75"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Hamburg, Germany","217"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Dublin, Ireland","53"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Andorra la Vella, Andorra","179"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Cologne, Germany","59"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Andorra la Vella, Andorra","207"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Chisinau, Moldova","299"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","İstanbul, Turkey","223"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Birmingham, United Kingdom","38"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Copenhagen, Denmark","154"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Brussels, Belgium","77"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Hamburg, Germany","1557"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Copenhagen, Denmark","241"
"August","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-august.php","Barcelona, Spain","282"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","İstanbul, Turkey","71"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Bucharest, Romania","224"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Amsterdam, Netherlands","51"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","İstanbul, Turkey","140"
"June","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-june.php","Dublin, Ireland","174"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Athens, Greece","291"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Athens, Greece","136"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Berlin, Germany","1625"
"April","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-april.php","Bucharest, Romania","185"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Berlin, Germany","72"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Glasgow, United Kingdom","80"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Andorra la Vella, Andorra","152"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Bucharest, Romania","71"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Chisinau, Moldova","80"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Budapest, Hungary","196"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Berlin, Germany","37"
"July","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-july.php","Birmingham, United Kingdom","184"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Bucharest, Romania","138"
"Year","https://www.currentresults.com/Weather/Europe/Cities/sunshine-annual-average.php","Copenhagen, Denmark","1780"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Brussels, Belgium","143"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Barcelona, Spain","200"
"October","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-october.php","Dublin, Ireland","102"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Andorra la Vella, Andorra","131"
"November","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-november.php","Budapest, Hungary","65"
"January","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-january.php","Hamburg, Germany","42"
"May","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-may.php","Bucharest, Romania","246"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Budapest, Hungary","49"
"December","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-december.php","Brussels, Belgium","45"
"September","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-september.php","Kazan, Russia","160"
"February","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-february.php","Kazan, Russia","89"
"March","https://www.currentresults.com/Weather/Europe/Cities/sunshine-average-march.php","Athens, Greece","183"
